,FNR,FPR,AUTOMATED,REJECT_TRUE,threshold_for_10_model,threshold__for_3_model
377,3.95,14.01,81.79,81.58,0.023288590604026847,0.5216107382550336
378,3.95,14.01,81.79,81.58,0.023288590604026847,0.528255033557047
379,3.95,14.01,81.79,81.58,0.023288590604026847,0.5348993288590604
380,3.95,14.01,81.79,81.58,0.023288590604026847,0.5415436241610738
381,3.95,14.01,81.79,81.58,0.023288590604026847,0.5481879194630872
382,3.95,14.01,81.79,81.58,0.023288590604026847,0.5548322147651007
383,3.95,14.01,81.79,81.58,0.023288590604026847,0.5614765100671141
384,3.95,14.01,81.79,81.58,0.023288590604026847,0.5681208053691276
385,3.95,14.01,81.79,81.58,0.023288590604026847,0.574765100671141
386,3.95,14.0,81.79,81.58,0.023288590604026847,0.5814093959731543
387,3.95,14.0,81.79,81.58,0.023288590604026847,0.5880536912751678
388,3.95,14.0,81.79,81.58,0.023288590604026847,0.5946979865771812
389,3.95,14.0,81.79,81.58,0.023288590604026847,0.6013422818791946
390,3.95,14.0,81.79,81.58,0.023288590604026847,0.6079865771812081
391,3.95,14.0,81.79,81.58,0.023288590604026847,0.6146308724832215
392,3.95,14.0,81.79,81.58,0.023288590604026847,0.6212751677852348
393,3.95,14.0,81.79,81.58,0.023288590604026847,0.6279194630872483
394,3.95,14.0,81.79,81.58,0.023288590604026847,0.6345637583892617
395,3.95,14.0,81.79,81.58,0.023288590604026847,0.6412080536912752
396,3.95,14.0,81.79,81.58,0.023288590604026847,0.6478523489932886
397,3.95,14.0,81.79,81.58,0.023288590604026847,0.654496644295302
398,3.95,14.0,81.79,81.58,0.023288590604026847,0.6611409395973155
399,3.95,14.0,81.79,81.58,0.023288590604026847,0.6677852348993288
400,3.95,14.0,81.79,81.58,0.023288590604026847,0.6744295302013423
401,3.95,14.0,81.79,81.58,0.023288590604026847,0.6810738255033557
